time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-02 16:29:30;6;0;1;1;6;0;0;0;6;0;1;0;4
2018-03-02 16:30:00;12;0;1;2;14;3;2;0;10;0;3;1;7
2018-03-02 16:30:30;18;1;2;2;19;3;2;0;14;0;4;1;12
2018-03-02 16:31:00;19;1;2;2;26;3;2;0;29;0;4;1;18
2018-03-02 16:31:30;26;1;2;2;32;4;2;0;29;0;4;1;29
2018-03-02 16:32:00;36;1;3;3;37;7;3;0;32;1;8;1;39
2018-03-02 16:32:30;36;1;3;3;37;8;3;0;33;1;8;1;39
2018-03-02 16:33:00;42;1;3;3;40;8;3;0;34;1;8;1;44
2018-03-02 16:33:30;52;1;3;3;46;9;3;0;38;2;8;1;47
2018-03-02 16:34:00;52;1;3;3;46;10;3;1;38;2;8;1;47
2018-03-02 16:34:30;53;1;3;3;46;10;3;1;38;2;8;1;47
2018-03-02 16:35:00;56;1;3;3;46;10;3;1;41;2;8;1;53
2018-03-02 16:35:30;59;1;3;3;49;10;3;1;44;2;8;1;59
2018-03-02 16:36:00;59;1;3;3;49;11;3;1;45;2;8;1;59
2018-03-02 16:36:30;65;1;3;3;49;12;3;1;45;2;12;1;61
2018-03-02 16:37:00;68;1;3;3;49;12;3;1;48;2;12;1;64
2018-03-02 16:38:00;68;1;3;3;49;12;3;1;49;2;13;1;64
2018-03-02 16:38:30;75;1;3;3;49;12;3;1;51;2;13;1;67
2018-03-02 16:39:00;76;1;3;3;51;13;3;1;53;2;13;1;70
2018-03-02 16:39:30;80;1;3;3;51;15;3;1;58;2;13;1;76
2018-03-02 16:40:00;83;1;5;3;51;16;3;1;61;2;14;1;77
2018-03-02 16:40:30;83;1;5;3;51;16;3;1;67;4;14;1;80
