timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0;time
1520008058.9699461;beacon;40;78:54:2e:fd:e3:80;3;4;IreneDaBohmba;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:27:38
1520008059.60777;beacon;20;08:96:ad:a0:44:50;9;6;eduroam;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:39
1520008059.6322348;beacon;20;08:96:ad:a0:44:54;9;6;tudelft-dastud;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:39
1520008059.7551315;beacon;20;08:96:ad:a0:44:53;9;6;TUvisitor;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:39
1520008059.875217;beacon;20;2c:33:11:50:2e:c0;5;6;eduroam;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:39
1520008059.8998055;beacon;20;2c:33:11:50:2e:c4;5;6;tudelft-dastud;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:39
1520008059.9494364;beacon;20;2c:d0:2d:ed:b2:30;5;6;eduroam;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:39
1520008059.9985929;beacon;20;2c:d0:2d:ed:b2:32;5;6;tudelft-dastud;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:39
1520008060.0226467;beacon;20;2c:33:11:50:2e:c3;5;6;TUvisitor;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:40
1520008060.0477433;beacon;20;2c:d0:2d:ed:b2:31;5;6;TUvisitor;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:40
1520008060.3720737;beacon;20;64:09:80:07:59:d2;1;4;Xiaomi_TUD20;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:27:40
1520008060.6183393;beacon;20;2c:33:11:38:c9:52;13;6;tudelft-dastud;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:40
1520008060.6606588;beacon;20;2c:33:11:31:db:20;13;6;eduroam;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:40
1520008060.709819;beacon;20;2c:33:11:31:db:22;13;6;tudelft-dastud;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:40
1520008060.758961;beacon;20;2c:33:11:31:db:21;13;6;TUvisitor;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:40
1520008061.1624174;beacon;40;e8:de:27:58:5b:cc;11;4;TP-LINK_2.4GHz_585BCC;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:27:41
1520008063.9918354;beacon;20;2c:d0:2d:ed:9b:23;13;6;TUvisitor;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:43
1520008064.6696465;beacon;20;fa:8f:ca:69:e4:52;11;4;;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:27:44
1520008067.253716;beacon;20;2c:33:11:38:c9:50;13;6;eduroam;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:47
1520008067.2801495;beacon;20;2c:33:11:31:db:70;13;6;eduroam;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:47
1520008070.7380416;beacon;20;2c:d0:2d:ed:9b:20;13;6;eduroam;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:50
1520008073.8960862;beacon;20;2c:d0:2d:ed:9b:24;13;6;tudelft-dastud;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:27:53
1520008075.8094985;beacon;40;90:f6:52:40:02:75;8;4;derfniw_wlan;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:27:55
1520008103.808259;beacon;20;2c:33:11:31:db:71;13;6;TUvisitor;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:28:23
1520008116.7814436;beacon;40;ac:9e:17:59:a3:58;10;4;It hurts when IP;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:28:36
1520008120.7318215;beacon;20;64:70:02:6b:c1:82;6;4;KVZ_Nieuwer;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:28:40
1520008130.741346;beacon;20;e0:3f:49:f5:5f:28;6;4;Balpol 524TL;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:28:50
1520008197.4529068;beacon;20;50:c7:bf:22:27:e9;11;4;Wie is wifi?;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:29:57
1520008402.7097673;beacon;40;56:17:31:d5:66:53;1;4;Connectify-MT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:33:22
1520008436.2419472;beacon;20;2c:33:11:31:db:72;13;6;tudelft-dastud;True;True;True;24.0;;;;;;;True;True;;;True;True;2018-03-02 17:33:56
1520008961.0815563;beacon;20;06:d6:aa:0c:4a:cc;1;4;AndroidAP;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-02 17:42:41
