time;1;2;3;4;5;6;7;8;9;10;11;12;13
2018-03-05 16:49:30;0;0;0;0;0;2;0;0;0;0;0;0;0
2018-03-05 16:50:00;1;0;1;0;0;5;0;0;0;0;2;0;0
2018-03-05 16:50:30;1;0;2;0;0;6;0;0;0;0;2;1;0
2018-03-05 16:51:00;1;0;2;0;0;7;0;0;0;0;2;1;0
2018-03-05 16:51:30;1;0;2;0;0;8;0;0;0;0;2;1;0
2018-03-05 16:53:00;1;0;2;0;0;9;0;0;0;0;3;1;0
2018-03-05 16:53:30;2;0;2;0;0;9;0;0;0;0;4;1;0
2018-03-05 16:54:00;5;0;2;0;0;11;0;0;0;0;5;1;0
2018-03-05 16:54:30;5;0;2;0;0;12;0;0;0;0;5;1;0
2018-03-05 16:56:30;6;0;2;0;0;13;0;0;1;0;5;1;0
2018-03-05 16:57:00;6;0;2;0;0;13;0;0;2;0;5;1;0
2018-03-05 16:57:30;9;0;2;0;0;17;0;0;2;0;5;1;0
2018-03-05 16:58:00;9;0;2;0;0;17;0;1;2;0;6;1;0
2018-03-05 16:58:30;11;0;2;0;0;17;0;1;2;0;6;1;0
2018-03-05 16:59:30;14;1;2;0;0;17;0;1;2;0;9;1;1
2018-03-05 17:00:00;14;1;2;0;0;18;1;1;2;0;11;1;1
2018-03-05 17:00:30;41;7;7;5;2;35;3;8;7;1;39;2;9
2018-03-05 17:01:00;62;8;8;9;2;51;4;13;8;5;63;4;17
2018-03-05 17:01:30;81;10;9;13;4;73;7;13;13;6;86;9;27
2018-03-05 17:02:00;115;11;18;18;10;95;9;15;21;11;108;10;35
2018-03-05 17:02:30;120;11;19;24;11;103;9;16;22;11;115;10;37
2018-03-05 17:03:00;125;11;19;25;11;105;9;16;22;11;116;10;37
2018-03-05 17:03:30;138;15;20;27;13;112;10;16;23;16;120;12;40
2018-03-05 17:04:00;144;15;23;28;15;115;11;16;24;17;123;15;41
2018-03-05 17:04:30;149;15;25;28;15;118;13;16;24;18;128;15;43
2018-03-05 17:05:00;159;16;25;29;17;128;13;16;25;18;136;16;43
2018-03-05 17:05:30;162;16;26;29;18;128;13;16;25;21;140;16;43
2018-03-05 17:06:00;162;16;26;29;18;128;13;16;25;21;144;16;43
2018-03-05 17:06:30;163;16;26;29;18;132;13;16;25;21;144;16;43
2018-03-05 17:07:00;178;20;29;33;20;141;14;19;27;22;152;18;43
2018-03-05 17:07:30;191;20;29;34;21;153;15;22;35;23;164;19;46
2018-03-05 17:08:00;208;21;31;38;24;160;20;24;40;27;179;22;49
2018-03-05 17:08:30;221;21;36;40;26;165;21;25;46;28;187;22;49
2018-03-05 17:09:00;225;22;36;40;26;166;22;25;46;29;188;22;50
2018-03-05 17:09:30;229;23;40;40;30;171;24;28;48;34;191;22;53
2018-03-05 17:10:00;252;25;42;41;35;180;27;31;53;38;205;22;55
2018-03-05 17:10:30;259;25;45;44;38;192;31;31;57;38;206;23;56
2018-03-05 17:11:00;288;27;48;47;47;207;35;36;66;49;231;26;62
2018-03-05 17:11:30;301;27;50;51;50;213;35;36;69;49;243;29;69
2018-03-05 17:12:00;313;29;53;55;51;223;35;39;73;55;253;31;69
2018-03-05 17:12:30;327;29;56;55;52;229;35;39;76;57;262;31;70
2018-03-05 17:13:00;334;29;56;55;52;233;35;43;76;58;264;31;70
2018-03-05 17:13:30;336;30;56;55;52;235;36;46;76;60;267;31;70
2018-03-05 17:14:00;341;30;57;55;54;238;36;46;81;61;267;31;70
2018-03-05 17:14:30;346;30;57;55;54;250;36;47;81;64;268;31;70
2018-03-05 17:15:00;353;33;60;55;58;252;37;48;81;66;276;31;70
2018-03-05 17:15:30;366;35;61;55;59;261;39;52;81;69;289;31;71
2018-03-05 17:16:00;383;39;66;55;61;276;41;60;82;74;305;33;73
2018-03-05 17:16:30;394;43;70;55;63;290;43;64;86;77;323;35;74
2018-03-05 17:17:00;410;47;73;57;66;298;48;67;88;81;341;36;78
2018-03-05 17:17:30;433;48;78;57;66;319;53;69;91;83;346;37;79
2018-03-05 17:18:00;444;48;80;58;68;329;55;70;97;84;361;37;80
2018-03-05 17:18:30;464;48;81;61;68;341;56;71;98;84;368;37;83
2018-03-05 17:19:00;486;53;82;64;71;355;57;76;105;92;380;38;86
2018-03-05 17:19:30;519;62;89;68;77;377;62;90;116;97;414;39;94
2018-03-05 17:20:00;533;63;90;69;77;393;63;96;119;98;433;40;95
2018-03-05 17:20:30;558;64;93;70;78;406;63;100;123;104;455;41;100
2018-03-05 17:21:00;574;65;94;74;79;417;65;101;126;105;459;42;107
2018-03-05 17:21:30;586;65;94;74;79;420;65;101;126;105;460;42;111
2018-03-05 17:22:00;589;65;94;74;79;420;65;101;127;105;460;42;111
